dur,proto,service,sbytes,dbytes
1.10E-05,115,10,496,0
8.00E-06,115,10,1762,0
5.00E-06,115,10,1068,0
6.00E-06,115,10,900,0
1.00E-05,115,10,2126,0
3.00E-06,115,10,784,0
6.00E-06,115,10,1960,0
2.80E-05,115,10,1384,0
0,51,10,46,0
0,51,10,46,0
0,51,10,46,0
0,51,10,46,0
4.00E-06,115,10,1454,0
7.00E-06,115,10,2062,0
1.10E-05,115,10,2040,0
4.00E-06,115,10,1052,0
3.00E-06,115,10,314,0
1.00E-05,115,10,1774,0
2.00E-06,115,10,1568,0
4.00E-06,115,10,2054,0
1.00E-05,115,10,2170,0
9.00E-06,115,10,202,0
1.00E-05,115,10,1334,0
5.00E-06,115,10,2058,0
3.00E-06,115,10,286,0
7.00E-06,115,10,1500,0
6.00E-06,115,10,902,0
2.00E-06,115,10,1626,0
7.00E-06,115,10,364,0
1.434166,111,10,530,268
7.00E-06,115,10,730,0
1.924287,111,10,530,354
2.773779,111,10,7954,354
1.00E-05,115,10,794,0
1.465041,111,10,2516,354
0.983874,111,3,816,1172
0.714182,111,10,534,268
59.995674,51,10,92,0
59.995678,51,10,92,0
59.995674,51,10,92,0
1.535254,111,3,826,1266
59.995678,51,10,92,0
0.757295,111,10,534,268
0.759306,111,10,534,354
1.294036,111,10,2516,354
1.059359,111,3,830,1134
0.624048,111,10,534,268
1.190292,111,10,2516,354
0.999472,111,10,534,268
0.990548,111,3,804,1414
0.655618,111,10,534,268
0.810167,111,10,2516,354
14.846565,111,10,990,0
14.846565,111,10,990,0
14.846565,111,10,990,0
1.588788,111,10,534,268
1.151373,111,10,2516,354
14.355273,111,10,900,0
14.355273,111,10,900,0
14.355273,111,10,900,0
15.53235,111,10,900,0
15.590977,111,10,900,0
15.53235,111,10,900,0
15.53235,111,10,900,0
15.590977,111,10,900,0
15.590977,111,10,900,0
1.074494,111,10,2516,354
15.979696,111,10,810,0
15.226356,111,10,810,0
15.979696,111,10,810,0
15.226356,111,10,810,0
15.979696,111,10,810,0
1.303518,111,3,898,1120
15.226356,111,10,810,0
15.374568,111,10,720,0
15.374568,111,10,720,0
15.374568,111,10,720,0
0.582389,111,10,534,268
16.448053,111,10,630,0
16.76671,111,10,630,0
16.76671,111,10,630,0
15.40279,111,10,630,0
16.448053,111,10,630,0
2.462774,111,10,2516,354
1.047169,111,10,534,354
16.76671,111,10,630,0
16.448053,111,10,630,0
15.40279,111,10,630,0
15.40279,111,10,630,0
2.417396,111,3,896,1142
16.044233,111,10,540,0
16.352577,111,10,540,0
16.044233,111,10,540,0
16.352577,111,10,540,0
16.352577,111,10,540,0
16.044233,111,10,540,0
0.664512,111,10,534,268
0.860208,111,10,534,268
15.102544,111,10,450,0
1.979445,111,3,810,1228
15.102544,111,10,450,0
1.763225,111,10,2516,354
0.651652,111,10,534,268
15.684376,111,10,450,0
15.684376,111,10,450,0
15.008936,111,10,360,0
15.008936,111,10,360,0
1.15935,111,10,534,354
16.131804,111,10,360,0
16.131804,111,10,360,0
0.717487,111,10,534,268
16.488672,111,10,270,0
0.874834,111,10,2516,354
16.800188,111,10,270,0
16.488672,111,10,270,0
16.800188,111,10,270,0
1.538604,111,3,814,1266
16.136995,111,10,270,0
16.136995,111,10,270,0
17.272808,111,10,180,0
17.267853,111,10,180,0
17.267853,111,10,180,0
0.869206,111,10,534,268
19.176811,111,10,180,0
17.272808,111,10,180,0
16.687513,111,10,180,0
19.176811,111,10,180,0
0.816781,111,10,2516,268
16.687513,111,10,180,0
0.724897,111,10,534,268
1.625287,111,3,876,1182
1.739142,111,10,2516,354
0.885835,111,10,534,268
1.179485,111,10,534,354
1.318945,111,10,2516,354
1.048635,111,3,824,1206
1.49338,111,3,822,1378
1.49338,111,3,822,1378
0.657843,111,10,534,354
1.49338,111,3,822,1378
1.450415,111,10,2516,354
1.45018,111,10,534,354
1.302269,111,10,534,354
1.20946,111,3,816,1294
0.638839,111,10,2516,268
1.368353,111,3,810,1138
1.368353,111,3,810,1138
0.963874,111,10,2516,354
0.866189,111,10,534,354
0.720965,111,3,800,1246
0.650809,111,10,2516,268
1.09756,111,3,792,1140
0.847027,111,10,534,268
0.698707,111,10,2516,268
1.058935,111,10,2516,354
0.762124,111,10,534,354
0.696721,111,10,2516,354
1.552272,111,3,822,1120
1.080772,111,10,534,354
0.685279,111,10,534,268
0.874161,111,3,796,1192
0.633507,111,10,2516,268
0.418529,111,10,534,268
9.734114,111,10,540,0
9.05373,111,10,540,0
8.834706,111,10,540,0
9.05373,111,10,540,0
8.232217,111,10,540,0
9.492497,111,10,540,0
8.232217,111,10,540,0
9.492497,111,10,540,0
1.139638,111,10,534,354
9.734114,111,10,540,0
8.834706,111,10,540,0
6.00E-06,111,10,90,0
13.982293,111,10,450,0
20.535067,111,10,450,0
18.112692,111,10,450,0
0.500492,111,10,2516,268
15.328777,111,10,450,0
14.958252,111,10,450,0
13.053721,111,10,450,0
1.12155,111,3,890,1150
14.958252,111,10,450,0
19.106997,111,10,450,0
24.755817,111,10,450,0
23.255651,111,10,450,0
22.761002,111,10,450,0
23.255651,111,10,450,0
22.761002,111,10,450,0
18.44595,111,10,450,0
24.755817,111,10,450,0
15.328777,111,10,450,0
13.053721,111,10,450,0
20.535067,111,10,450,0
21.025787,111,10,450,0
21.987556,111,10,450,0
18.112692,111,10,450,0
18.44595,111,10,450,0
21.987556,111,10,450,0
21.025787,111,10,450,0
19.106997,111,10,450,0
13.982293,111,10,450,0
23.333012,111,10,360,0
23.333012,111,10,360,0
9.00E-06,115,10,104,0
25.801886,111,10,360,0
23.387411,111,10,360,0
23.660702,111,10,360,0
25.758749,111,10,360,0
23.660702,111,10,360,0
25.758749,111,10,360,0
23.387411,111,10,360,0
1.00E-06,115,10,104,0
1.673592,111,3,810,1250
0.764506,111,10,534,268
25.801886,111,10,360,0
2.185865,111,10,2516,354
4.00E-06,123,10,90,0
24.682304,111,10,270,0
25.819431,111,10,270,0
3.00E-06,123,10,2120,0
4.00E-06,123,10,90,0
25.819431,111,10,270,0
3.00E-06,123,10,2120,0
24.682304,111,10,270,0
1.429959,111,10,534,268
31.542561,111,10,180,0
29.195513,111,10,180,0
30.79278,111,10,180,0
30.79278,111,10,180,0
27.413933,111,10,180,0
31.542561,111,10,180,0
0.524961,111,10,534,268
3.00E-06,115,10,104,0
29.195513,111,10,180,0
27.413933,111,10,180,0
5.00E-06,123,10,90,0
5.00E-06,123,10,90,0
1.129944,111,10,534,354
1.964566,111,10,2516,354
2.349783,111,3,888,1370
7.00E-06,115,10,104,0
0.921987,13,10,1280,0
0.921987,13,10,1280,0
0.921987,13,10,1280,0
0.921987,13,10,1280,0
9.00E-06,7,10,104,0
9.00E-06,106,10,156,0
9.00E-06,106,10,156,0
9.00E-06,106,10,156,0
9.00E-06,106,10,156,0
1.60E-05,115,10,196,0
0.224524,111,3,830,960
0.409782,111,3,852,1336
0.258515,111,3,1064,268
0.674665,111,10,564,354
5.600391,111,3,886,5236
0.285988,111,10,1196,992
3.00E-06,115,10,168,0
0.663844,111,10,564,354
0.217312,111,3,1148,268
7.629429,111,3,9082,1747118
0.502392,111,3,938,354
0.460161,111,3,908,18088
9.00E-06,115,10,168,0
1.244202,13,10,3024,0
1.244202,13,10,3024,0
1.244202,13,10,3024,0
1.244202,13,10,3024,0
1.244202,13,10,3024,0
0.289402,111,3,1134,1074
0.667368,111,10,564,354
0.209133,111,3,508,268
0.197552,111,3,758,268
8.00E-06,115,10,168,0
0.483004,111,3,566,354
0.523646,111,10,674,268
2.032866,111,5,1186,1602
0.727527,111,6,364,1628
9.00E-06,115,10,168,0
0.681871,111,10,17266,354
0.566928,111,10,490,268
0.833854,111,10,738,354
0.766293,111,10,1506,268
0.583476,111,10,1098,268
0.625871,111,10,3984,268
1.173262,111,10,2080,1746
0.451172,111,10,490,268
0.877186,111,10,564,354
0.694908,111,10,546,354
0.534477,111,10,546,354
0.322297,111,10,546,268
0.688948,111,3,908,2000
0.537852,111,10,484,354
0.772218,111,3,808,1238
0.432617,111,3,968,354
0.249214,111,3,848,986
0.647249,111,10,564,354
0.190223,111,3,902,268
0.894891,111,0,3178,1784
0.998863,111,9,948,9872
0.282722,111,3,844,1094
9.95755,111,9,10662,2055289
